m/z	Intensity
123.16035	18634.00000
123.16076	20974.00000
123.25215	14395.00000
123.31498	11290.00000
123.40079	5415.00000
123.40119	6209.00000
123.42496	18486.00000
123.42536	14730.00000
123.42577	16797.00000
123.45478	11357.00000
123.48501	5741.00000
123.48541	7591.00000
123.54427	2932.00000
123.57612	6516.00000
123.71527	8685.00000
123.72334	2342.00000
123.79637	6351.00000
124.03944	10910.00000
124.03985	10055.00000
124.31592	4090.00000
124.34624	7632.00000
124.63844	9604.00000
124.71904	8898.00000
124.83452	11807.00000
124.83573	5100.00000
124.89613	9296.00000
124.90018	5404.00000
125.40294	14242.00000
125.57969	10350.00000
125.58009	13342.00000
125.99951	7626.00000
126.02232	11892.00000
126.02272	8005.00000
126.02313	12934.00000
126.52610	10449.00000
126.52651	9003.00000
126.55262	5257.00000
126.55344	14915.00000
126.60608	7903.00000
126.60649	7814.00000
126.69997	4716.00000
126.74488	6900.00000
126.89928	9944.00000
127.63870	16838.00000
127.63911	13198.00000
127.74650	8548.00000
127.74732	14365.00000
127.75265	12361.00000
127.76003	8389.00000
127.88510	4453.00000
127.88551	6428.00000
128.02461	8107.00000
128.03117	4741.00000
128.89079	22622.00000
128.89120	18979.00000
128.92126	5662.00000
129.01106	8588.00000
129.15448	3317.00000
129.22539	9468.00000
129.23282	8568.00000
129.69215	17697.00000
129.71405	8512.00000
129.71446	13040.00000
129.72768	8055.00000
129.75743	11689.00000
129.75784	11695.00000
129.77768	8502.00000
129.77809	9355.00000
129.79793	9150.00000
129.86240	9397.00000
129.93846	23638.00000
130.25122	8203.00000
130.25165	6244.00000
130.25206	5039.00000
130.25247	4357.00000
130.29387	5538.00000
130.59256	9979.00000
131.30232	13560.00000
131.49232	6906.00000
131.49982	4440.00000
131.92609	14863.00000
132.01901	7106.00000
132.86806	20413.00000
133.31161	9481.00000
133.37109	6845.00000
133.46829	8436.00000
133.51648	15307.00000
133.54877	5584.00000
133.99261	10722.00000
134.02998	5723.00000
134.32870	7379.00000
134.40144	12163.00000
134.40187	9725.00000
134.66776	9573.00000
134.66818	11306.00000
134.66861	10462.00000
134.71407	5887.00000
134.79407	6411.00000
134.81091	12909.00000
134.94908	11190.00000
134.94951	18752.00000
