m/z	Intensity
189.05287	369462.00000
189.05338	858501.00000
189.05388	1728176.00000
189.05437	2738697.00000
189.05487	4150589.00000
189.05537	3242165.00000
189.05586	1530672.00000
189.05637	942542.00000
189.05687	587412.00000
190.03413	205078.00000
190.03464	900031.00000
190.03514	1844909.00000
190.03564	4739539.00000
190.03615	8560170.00000
190.03664	15815443.00000
190.03714	15556335.00000
190.03764	7258220.00000
190.03815	2814411.00000
190.03864	2590441.00000
190.03914	905983.00000
190.03964	119486.00000
190.04015	11727.00000
190.05765	69322.00000
190.05814	50670.00000
190.05864	60377.00000
190.05914	16018.00000
190.05965	257199.00000
190.06013	835939.00000
190.06064	1856240.00000
190.06114	4117987.00000
190.06165	11438703.00000
190.06215	23203333.00000
190.06264	43706739.00000
190.06314	39512160.00000
190.06364	15826177.00000
190.06415	6320892.00000
190.06464	5491803.00000
190.06514	1798750.00000
190.06564	625403.00000
190.06615	178219.00000
191.03799	18277.00000
191.03850	177147.00000
191.03900	673428.00000
191.03951	1112654.00000
191.04001	1804749.00000
191.04050	1785687.00000
191.04100	1011111.00000
191.04150	372436.00000
191.04201	259055.00000
191.04251	21047.00000
191.04501	74523.00000
191.04552	298351.00000
191.04602	759556.00000
191.04652	1108282.00000
191.04703	1373047.00000
191.04752	766225.00000
191.04802	379331.00000
191.04852	122149.00000
191.06407	338557.00000
191.06458	943192.00000
191.06506	1976493.00000
191.06557	3233561.00000
191.06607	5452153.00000
191.06657	4748044.00000
191.06708	2314360.00000
191.06758	1281739.00000
191.06808	1107146.00000
191.06857	749986.00000
191.06908	1205590.00000
191.06958	1892249.00000
191.07008	3452596.00000
191.07059	4844823.00000
191.07109	4255166.00000
191.07159	1864488.00000
191.07208	1234192.00000
191.07259	700582.00000
191.07309	18294.00000
191.13025	10422.00000
191.13075	15655.00000
191.13126	13720.00000
192.05104	38189.00000
192.05153	39890.00000
192.05203	81526.00000
192.05254	84587.00000
192.05304	30326.00000
192.06763	17119.00000
192.06813	17836.00000
192.06912	9614.00000
192.06963	6424.00000
192.07265	36734.00000
192.07315	102561.00000
192.07365	96064.00000
192.07416	143956.00000
192.07466	58474.00000
192.07516	18258.00000
192.07567	12556.00000
192.07617	169433.00000
192.07668	602509.00000
192.07718	1315657.00000
192.07768	2090312.00000
192.07817	3864411.00000
192.07867	4560642.00000
192.07918	2764960.00000
192.07968	1125998.00000
192.08018	984253.00000
192.08069	247566.00000
192.42621	11519.00000
193.08136	39592.00000
193.08186	64239.00000
193.08237	49434.00000
193.08287	5310.00000
193.85883	7970.00000
195.88316	12871.00000
197.08714	8310.00000
197.36119	4625.00000
198.34996	7768.00000
198.35098	12785.00000
198.66170	11648.00000
198.98340	7596.00000
198.98392	12073.00000
198.98442	17393.00000
198.98494	31182.00000
198.98544	17389.00000
198.98596	4612.00000
198.98647	6426.00000
199.04941	13945.00000
199.08830	9356.00000
199.08881	14434.00000
199.08932	7642.00000
199.22139	7380.00000
199.23930	4476.00000
200.42323	5537.00000
200.99928	14643.00000
200.99980	20643.00000
201.00032	19752.00000
201.00082	20955.00000
201.00134	12686.00000
201.00186	5580.00000
201.00237	5804.00000
201.02089	31133.00000
201.02139	276758.00000
201.02191	459322.00000
201.02243	768333.00000
201.02293	1034692.00000
201.02345	1045512.00000
201.02397	549180.00000
201.02449	276462.00000
201.02499	92552.00000
202.02599	7562.00000
202.02856	14101.00000
202.02908	43701.00000
202.02960	140011.00000
