Processing file: 110924_h12_glufib
Base Peak Intensity Threshold: 400000.0
m/z Range: 100.0 - 4000.0
Minimum Intensity for m/z: 10.0

Scan	Base Peak m/z	Base Peak Intensity	Included/Excluded
174	1570.60059	771424.00	Included
175	1570.60059	969944.00	Included
176	1570.60059	253935.00	Excluded (Base peak below threshold)
177	1570.60059	647016.00	Included
178	1570.60059	407768.00	Included
179	1570.60059	524816.00	Included
180	1570.60059	518718.00	Included
181	1570.59912	938117.00	Included
182	1570.59912	727249.00	Included
183	1570.60059	380520.00	Excluded (Base peak below threshold)
184	1570.60059	565201.00	Included
185	1570.59912	1113362.00	Included
186	1570.60059	1263394.00	Included
187	1570.59912	1285705.00	Included
188	1570.59912	886816.00	Included
189	1570.59912	1154485.00	Included
190	1570.60059	1058043.00	Included
191	1570.60059	493767.00	Included
192	1570.59912	307923.00	Excluded (Base peak below threshold)
193	1570.60059	387662.00	Excluded (Base peak below threshold)
194	1570.60059	481874.00	Included
195	1570.60059	529418.00	Included
196	1570.60193	917326.00	Included
197	1570.60193	698146.00	Included
198	1570.60193	720760.00	Included
199	1570.60193	475734.00	Included
200	1570.60059	663524.00	Included
201	1570.59912	869395.00	Included
202	1570.60059	1089461.00	Included
203	1570.60059	916048.00	Included
204	1570.60193	1338453.00	Included
205	1570.60193	1217476.00	Included
206	1570.60193	1383566.00	Included
207	1570.60059	1036408.00	Included
208	1570.60193	965050.00	Included
209	1570.60059	927021.00	Included
210	1570.59912	1122237.00	Included
211	1570.60059	1667314.00	Included
212	1570.60059	572889.00	Included
213	1570.60193	506956.00	Included
214	1570.60193	311592.00	Excluded (Base peak below threshold)
215	1570.60193	278185.00	Excluded (Base peak below threshold)
216	1570.60193	870804.00	Included
217	1570.60059	1118669.00	Included
218	1570.60193	1173852.00	Included
219	1570.60193	776339.00	Included
220	1570.60059	438078.00	Included
221	1570.60059	534584.00	Included
222	1570.60193	939847.00	Included
223	1570.60193	928930.00	Included
224	1570.60193	1153509.00	Included
225	1570.60193	1300599.00	Included
226	1570.60193	1182784.00	Included
227	1570.60193	1382134.00	Included
228	1570.60193	1295162.00	Included
229	1570.60339	1126368.00	Included
230	1570.60193	1831888.00	Included
231	1570.60193	792184.00	Included
232	1570.60339	1063832.00	Included
233	1570.60193	777536.00	Included
234	1570.60193	767610.00	Included
235	1570.60193	541831.00	Included
236	1570.60059	564473.00	Included
237	1570.60059	586908.00	Included
238	1570.60193	1189686.00	Included
239	1570.60193	1669036.00	Included
240	1570.60193	548023.00	Included
241	1570.60193	939988.00	Included
242	1570.60193	529748.00	Included
243	1570.60059	667246.00	Included
244	1570.60193	640125.00	Included
245	1570.60193	743849.00	Included
246	1570.60193	1069602.00	Included
247	1570.60193	1353502.00	Included
248	1570.60193	1389109.00	Included
249	1570.60193	1588364.00	Included
250	1570.60193	1210040.00	Included
251	1570.60193	1348287.00	Included
252	1570.60339	1368955.00	Included
253	1570.60193	1248603.00	Included
254	1570.60193	744143.00	Included
255	1570.60193	404293.00	Included
256	1570.60193	855744.00	Included
257	1570.60193	905780.00	Included
258	1570.60193	917756.00	Included
259	1570.60193	1336333.00	Included
260	1570.60193	619799.00	Included
261	1570.60193	772389.00	Included
262	1570.60339	1079933.00	Included
263	1570.60339	766840.00	Included
264	1570.60193	611798.00	Included
265	1570.60193	187448.00	Excluded (Base peak below threshold)
266	1570.60193	145172.00	Excluded (Base peak below threshold)
267	1570.60193	32272.00	Excluded (Base peak below threshold)
268	1570.60193	449010.00	Included
269	1570.60193	372951.00	Excluded (Base peak below threshold)
270	1570.60193	864708.00	Included
271	1570.60193	1561604.00	Included
272	1570.60193	1717738.00	Included
273	1570.60193	1448261.00	Included
274	1570.60193	759536.00	Included
275	1570.60193	731088.00	Included
276	1570.60193	1056098.00	Included
277	1570.60193	1111778.00	Included
278	1570.60193	907431.00	Included
279	1570.60193	680639.00	Included
280	1570.60193	641103.00	Included
281	1570.60193	293665.00	Excluded (Base peak below threshold)
282	1570.60193	838118.00	Included
283	1570.60193	1133693.00	Included
284	1570.60193	1006329.00	Included
285	1570.60193	767041.00	Included
286	1570.60059	369264.00	Excluded (Base peak below threshold)
287	1570.60193	636785.00	Included
288	1570.60193	1050444.00	Included
289	1570.60193	420578.00	Included
290	1570.60193	1190469.00	Included
291	1570.60193	664587.00	Included
292	1570.60193	38114.00	Excluded (Base peak below threshold)
293	1570.60193	846475.00	Included
294	1570.60193	1154553.00	Included
295	1570.60193	995174.00	Included
296	1570.60193	935882.00	Included
297	1570.60193	884099.00	Included
298	1570.60339	718929.00	Included
299	1570.60339	866726.00	Included
300	1570.60193	666778.00	Included
301	1570.60193	650526.00	Included
302	1570.60193	461711.00	Included
303	1570.60193	963574.00	Included
304	1570.60339	358791.00	Excluded (Base peak below threshold)
305	1570.60193	234177.00	Excluded (Base peak below threshold)
306	1570.60193	1001443.00	Included
307	1570.60193	1136356.00	Included
308	1570.60339	695491.00	Included
309	1570.60339	575782.00	Included
310	1570.60193	1084783.00	Included
