Processing file: 10021_EFib_MS1_H1_1
Base Peak Intensity Threshold: 400000.0
m/z Range: 100.0 - 4000.0
Minimum Intensity for m/z: 10.0

Scan	Base Peak m/z	Base Peak Intensity	Included/Excluded
161	401.09650	10838.00	Excluded (Base peak below threshold)
162	172.05180	13437.00	Excluded (Base peak below threshold)
163	401.09650	19036.00	Excluded (Base peak below threshold)
164	172.05133	40065.00	Excluded (Base peak below threshold)
165	401.09650	9999.00	Excluded (Base peak below threshold)
166	401.09650	14928.00	Excluded (Base peak below threshold)
167	401.09650	16270.00	Excluded (Base peak below threshold)
168	401.09650	10727.00	Excluded (Base peak below threshold)
169	401.09650	10434.00	Excluded (Base peak below threshold)
170	172.05133	46322.00	Excluded (Base peak below threshold)
171	401.09650	23420.00	Excluded (Base peak below threshold)
172	357.10486	12450.00	Excluded (Base peak below threshold)
173	212.04585	91323.00	Excluded (Base peak below threshold)
174	234.02890	230795.00	Excluded (Base peak below threshold)
175	234.02890	368295.00	Excluded (Base peak below threshold)
176	212.04585	2547220.00	Included
177	234.02890	1131200.00	Included
178	212.04585	719495.00	Included
179	234.02890	200345.00	Excluded (Base peak below threshold)
180	401.09650	4390.00	Excluded (Base peak below threshold)
181	401.09650	11864.00	Excluded (Base peak below threshold)
182	401.09650	9005.00	Excluded (Base peak below threshold)
183	401.09650	5961.00	Excluded (Base peak below threshold)
184	401.09579	6509.00	Excluded (Base peak below threshold)
185	401.09579	7026.00	Excluded (Base peak below threshold)
186	401.09650	7904.00	Excluded (Base peak below threshold)
187	401.09650	7099.00	Excluded (Base peak below threshold)
188	401.09650	11185.00	Excluded (Base peak below threshold)

Total included scans: 111
